,Shop_Name,Address,Latitude,Longitude,Rating,Borough,Property_Value_2017,Earnings_2021
0,Vintage80scasuals,"Unit 63, 105 Culvert Rd, London",51.47090439999999,-0.1566805,4.2877224199288255,Wandsworth,640000.0,746.7
1,Accessories of Old,"Next to Safestore, Arch 10 Munster Rd, London",51.4725788,-0.2038588,4.2877224199288255,Hammersmith and Fulham,740000.0,714.5
2,Eclectica (Clapham),"803 Wandsworth Rd, London",51.4665809,-0.1484604,4.9,Lambeth,510000.0,673.6
3,BajaboutiqueGB,"37 Elbe St, London",51.4728777,-0.1850758,4.2877224199288255,Hammersmith and Fulham,740000.0,714.5
4,INSIGHT Fulham Dress Agency,"201 Munster Rd, London",51.4794466,-0.2118834,5.0,Hammersmith and Fulham,740000.0,714.5
5,NewVintage.co.uk,"256 Battersea Park Rd, London",51.4720756,-0.1661966,4.1,Wandsworth,640000.0,746.7
6,Rewind Vintage Affairs,London,51.47750680000001,-0.1831423,5.0,Hammersmith and Fulham,740000.0,714.5
7,R13fitness,"Flat 74, Barton House, Wandsworth Bridge Rd., London",51.4682394,-0.1898545,4.2877224199288255,Hammersmith and Fulham,740000.0,714.5
8,Deuxieme,"299 New Kings Rd, London",51.4721182,-0.203096,3.8,Hammersmith and Fulham,740000.0,714.5
9,Northcote Road Antiques Market,"155a Northcote Rd, London",51.455341,-0.1645277,4.4,Wandsworth,640000.0,746.7
10,43 Decorative Antiques,"43 Replingham Rd, London",51.44506939999999,-0.2043641,4.5,Wandsworth,640000.0,746.7
11,Guinevere Antiques Ltd,"574-580, King's Rd, London",51.47900199999999,-0.188218,4.8,Hammersmith and Fulham,740000.0,714.5
12,Eccles Road Antiques,"60 Eccles Rd, London",51.46180829999999,-0.1634526,4.9,Wandsworth,640000.0,746.7
13,Ebury Trading,"Lavender Hill, London",51.4651588,-0.1550034,5.0,Wandsworth,640000.0,746.7
14,Antique Modern Mix,"unit 121, Design Centre South Dome, London",51.4760284,-0.1829163,5.0,Hammersmith and Fulham,740000.0,714.5
15,Black Tie White Noise,"62 Fulham High St, London",51.4703604,-0.2107931,4.2877224199288255,Hammersmith and Fulham,740000.0,714.5
16,HOWE Warehouse,"Unit 15B, Bldg B Parkfield Industrial Estate, Culvert Pl, London",51.4711469,-0.1544732,4.2877224199288255,Wandsworth,640000.0,746.7
17,The Shop,"645-649 Garratt Lane, London",51.4366231,-0.1865754,3.3,Wandsworth,640000.0,746.7
18,New Kings Road Vintage Guitar Emporium,"65A New Kings Rd, London",51.475823,-0.1933474,4.6,Hammersmith and Fulham,740000.0,714.5
19,ShonaMac.com,"8 Bellevue Rd, London",51.44577210000001,-0.1658887,4.5,Wandsworth,640000.0,746.7
20,Artiquea Gallery,"82 Wandsworth Bridge Rd., London",51.4738719,-0.1922307,5.0,Hammersmith and Fulham,740000.0,714.5
21,331,"331 Garratt Lane, London",51.44639429999999,-0.189165,4.4,Wandsworth,640000.0,746.7
22,Retro Furniture & Services,"338 Balham High Rd, London",51.4358639,-0.1596233,5.0,Wandsworth,640000.0,746.7
23,Saluto London,"Battersea Business Centre, London",51.4650292,-0.1549833,5.0,Wandsworth,640000.0,746.7
24,Gutlin Clocks & Antiques,"606 King's Rd, London",51.4784546,-0.1891004,5.0,Hammersmith and Fulham,740000.0,714.5
25,Vittorio Ragone Design,"533 King's Rd, London",51.4802725,-0.1854478,5.0,Kensington and Chelsea,1200000.0,767.0
27,Traid,"28 St John's Rd, London",51.4629956,-0.1679301,4.1,Wandsworth,640000.0,746.7
28,Boutique by Shelter,"49 Northcote Rd, London",51.4594101,-0.1662286,4.8,Wandsworth,640000.0,746.7
29,Chelsea Vintage Couture,"Office - Showroom, BY APPOINTMENT ONLY, Sloane Ave, London",51.4924574,-0.1659658,4.7,Kensington and Chelsea,1200000.0,767.0
30,Hornets,"2 & 4 Kensington Church Walk, London",51.50253259999999,-0.1928196,4.9,Kensington and Chelsea,1200000.0,767.0
31,De L'Époque,"8 Cheval Pl, London",51.49900359999999,-0.1667621,5.0,Westminster,1070000.0,771.6
32,All Loved Up Boutique,"All Loved Up Boutique, 91 Charlwood St, London",51.4880187,-0.1412302,5.0,Westminster,1070000.0,771.6
33,Retromania Fara London,"6 Upper Tachbrook St, London",51.4933772,-0.1399568,4.3,Westminster,1070000.0,771.6
34,Sign of the Times,"5 Elystan St, London",51.490966,-0.1667517,4.3,Kensington and Chelsea,1200000.0,767.0
35,Field Antiques,"275 Lillie Rd, London",51.4829184,-0.2116797,4.2877224199288255,Hammersmith and Fulham,740000.0,714.5
36,Good,"31 Kensington Church St, London",51.5035908,-0.1920055,4.9,Kensington and Chelsea,1200000.0,767.0
37,Sheila Cook Textiles,"26 Addison Pl, London",51.5065669,-0.2134664,4.2877224199288255,Kensington and Chelsea,1200000.0,767.0
38,James McWhirter Antiques Ltd,"11 Langton St, London",51.4823176,-0.1807697,4.8,Kensington and Chelsea,1200000.0,767.0
39,Butterworth Christopher,"71 Pimlico Rd, London",51.490362,-0.1535057,3.7,Westminster,1070000.0,771.6
40,AntikBar - Original Vintage Posters,"404 King's Rd, London",51.4836155,-0.1771506,4.9,Kensington and Chelsea,1200000.0,767.0
41,Found And Vision,"318 Portobello Rd, London",51.5213081,-0.2099342,4.5,Kensington and Chelsea,1200000.0,767.0
42,Beyond Retro Soho,"19-21 Argyll St, London",51.5150107,-0.1411872,4.3,Westminster,1070000.0,771.6
43,Karen Vintage Boutique @293,"293 Portobello Rd, London",51.5191106,-0.2075888,4.7,Kensington and Chelsea,1200000.0,767.0
44,282 Portobello,"282 Portobello Rd, London",51.5192983,-0.2074127,4.3,Kensington and Chelsea,1200000.0,767.0
45,Last Place on Earth (uk),"82 Golborne Rd, London",51.5218537,-0.2087682,4.7,Kensington and Chelsea,1200000.0,767.0
46,Rellik,"8 Golborne Rd, London",51.52414779999999,-0.2059257,4.3,Kensington and Chelsea,1200000.0,767.0
47,Lovers Lane London,"77 Portobello Rd, London",51.51266390000001,-0.2021452,4.1,Kensington and Chelsea,1200000.0,767.0
48,Dream Retro,"2nd Floor, Alfies Antiques Market, 13- 25 Church St, London",51.5241887,-0.1688101,4.2877224199288255,Westminster,1070000.0,771.6
49,Vintage Modes,"Alfies Antique Market, Church St, London",51.5241887,-0.1688101,4.2877224199288255,Westminster,1070000.0,771.6
50,Lime Green Bow VINTAGE,"5, 18 All Saints Rd, London",51.5180802,-0.2036464,4.0,Kensington and Chelsea,1200000.0,767.0
51,One Vintage,"Unit 10, Portobello Green, 281 Portobello Rd, London",51.5187839,-0.2072528,4.3,Kensington and Chelsea,1200000.0,767.0
52,LanaTS Clothing,"55 Baker St, London",51.5187355,-0.1567089,4.2877224199288255,Westminster,1070000.0,771.6
53,Goldsmith Vintage,"176 Portobello Rd, London",51.5156751,-0.2046511,4.3,Kensington and Chelsea,1200000.0,767.0
54,The House of Retro,"232 Portobello Rd, London",51.51735009999999,-0.20601,4.2,Kensington and Chelsea,1200000.0,767.0
55,OOTO LONDON,"Claridge House, 32 Davies St, London",51.512012,-0.1477862,4.2877224199288255,Westminster,1070000.0,771.6
56,Pepper Tree London,"Unit1, 253 Portobello Rd, London",51.517531,-0.2065744,4.1,Kensington and Chelsea,1200000.0,767.0
57,Eddie Wailes Studio,"13 - 25 Church St, London",51.52421589999999,-0.1688751,4.2877224199288255,Westminster,1070000.0,771.6
58,Antique Clothing Shop,"282 Portobello Rd, London",51.5192918,-0.2074124,5.0,Kensington and Chelsea,1200000.0,767.0
59,Generation Vintage LDN,"242 Portobello Rd, London",51.517774,-0.2062906,3.0,Kensington and Chelsea,1200000.0,767.0
60,Oliver Vintage,"Unit 7, Portobello Green Arcade, 281 Portobello Rd, London",51.5185621,-0.2073518,5.0,Kensington and Chelsea,1200000.0,767.0
61,Pepper Tree London Notting Hill,"31 Pembridge Rd, Notting Hill Gate, London",51.5102901,-0.1974706,4.3,Kensington and Chelsea,1200000.0,767.0
62,Nikita Sablier,"79 George St, London",51.5171123,-0.1568565,4.2877224199288255,Westminster,1070000.0,771.6
63,Retro Man,"28 Pembridge Rd, London",51.5098437,-0.1971446,3.4,Kensington and Chelsea,1200000.0,767.0
64,One Vintage,"200 Kensington Park Rd, London",51.5159972,-0.2059718,4.2877224199288255,Kensington and Chelsea,1200000.0,767.0
65,Portobello Vintage Market,"Greater, London",51.51872830000001,-0.2073275,4.0,Kensington and Chelsea,1200000.0,767.0
66,Retro Clothing Exchange,"28 Pembridge Rd, London",51.50983189999999,-0.1971427,2.9,Kensington and Chelsea,1200000.0,767.0
67,American Vintage,"185 Westbourne Grove, London",51.5145847,-0.1981431,3.8,Kensington and Chelsea,1200000.0,767.0
68,Open for Vintage,"7, 10 Cavendish Square, Chandos St, London",51.5169544,-0.1442532,5.0,Westminster,1070000.0,771.6
69,vintage clothing,London,51.52362549999999,-0.2067168,5.0,Kensington and Chelsea,1200000.0,767.0
70,Vintage Stockroom,"13 - 25 Church St, London",51.524127,-0.1688328,4.2877224199288255,Westminster,1070000.0,771.6
71,V 4 Vintage,"13-25 Church St, London",51.5241887,-0.1688101,4.2877224199288255,Westminster,1070000.0,771.6
72,Good,"180 Queensway, London",51.51557,-0.1880176,5.0,Westminster,1070000.0,771.6
73,Linda Bee,"Alfie’s Antique Market, 13 - 25 Church St, London",51.5241887,-0.1688101,3.7,Westminster,1070000.0,771.6
74,Jane Bourvis,"6, 281 Portobello Grn, Portobello Rd, London",51.5185621,-0.2073518,4.4,Kensington and Chelsea,1200000.0,767.0
75,Alice's,"86 Portobello Rd, London",51.51278,-0.2019071,4.5,Kensington and Chelsea,1200000.0,767.0
76,Gillian Horsup,"Alfies Antiques, Alfies Antique Market, 13-25 Church St, London",51.5241887,-0.1688101,5.0,Westminster,1070000.0,771.6
77,Vintage Fur Garden,"82 Portobello Rd, London",51.5126783,-0.2016607,5.0,Kensington and Chelsea,1200000.0,767.0
78,Somebody & Sons Vintage Archive,"1A Beethoven St, London",51.530617,-0.2071881,4.2877224199288255,Westminster,1070000.0,771.6
79,This Old Thing London,"79 Portobello Rd, London",51.5127324,-0.2021264,5.0,Kensington and Chelsea,1200000.0,767.0
80,American Vintage,"35 Marylebone High St, London",51.5205091,-0.151705,3.4,Westminster,1070000.0,771.6
81,Grays Antique Market,"58 Davies St, London",51.5137017,-0.1486451,4.1,Westminster,1070000.0,771.6
82,ANTIQUES,London,51.5122569,-0.1546661,4.8,Westminster,1070000.0,771.6
83,Retro Living,"7A Church St, London",51.5244864,-0.1685567,5.0,Westminster,1070000.0,771.6
84,Alfies Antique Market,"13 - 25 Church St, London",51.5241255,-0.1688334,4.3,Westminster,1070000.0,771.6
85,SOMLO - London & OMEGA Vintage,"35-36 Burlington Arcade, London",51.509631,-0.14092,4.5,Westminster,1070000.0,771.6
86,pillowHeat,"Vans Store, 47 Carnaby St, London",51.5128206,-0.1386783,4.9,Westminster,1070000.0,771.6
87,Timewise Vintage Watches,"117 Portobello Rd, London",51.51381240000001,-0.2034662,4.2877224199288255,Kensington and Chelsea,1200000.0,767.0
88,The Vintage Showroom,"By Appointment) UNIT 20, Buspace Studios, Conlan St, London",51.525636,-0.210764,3.7,Kensington and Chelsea,1200000.0,767.0
89,Pip Hackett Millinery,"65 Alfred Rd, London",51.5211277,-0.1962841,4.2877224199288255,Westminster,1070000.0,771.6
90,Muirshin Durkin,"67 Golborne Rd, London",51.5221205,-0.2079296,3.4,Kensington and Chelsea,1200000.0,767.0
91,The Vintage Collection,"Arch 59, Camden Stables Market, London",51.5420455,-0.1469688,5.0,Camden,717500.0,694.2
92,Rokit Camden,"225 Camden High St, London",51.5398923,-0.143589,4.1,Camden,717500.0,694.2
93,St Cyr Vintage,"56 Saddle Row Camden Market, London",51.5421391,-0.1483749,4.3,Camden,717500.0,694.2
94,Berty and Gerty Vintage,"53 Camden Lock Pl, London",51.5413907,-0.1465884,4.2877224199288255,Camden,717500.0,694.2
95,What Goes Around Comes Around,"Unit 32, The Stables Market Chalk, Farm Road, London",51.5420969,-0.1466583,3.9,Camden,717500.0,694.2
96,Camden Threads - An online shop for the best independent brands and vintage boutiques,"44A Camden Lock Pl, London",51.5414567,-0.1463852,4.2877224199288255,Camden,717500.0,694.2
97,Funkytownshop,"Ground Floor, 232 Camden High St, London",51.5409704,-0.1443065,3.3,Camden,717500.0,694.2
98,OuterLimitz Vintage,"12B, Camden Stables Market, Chalk Farm Rd, London",51.5420455,-0.1469688,4.2877224199288255,Camden,717500.0,694.2
99,Modern Age Vintage Clothing,"65 Chalk Farm Rd, London",51.5433049,-0.1503682,3.3,Camden,717500.0,694.2
100,A Dandy In Aspic,"Market, 748-749, North Yard Stables, Chalk Farm Rd, London",51.5425015,-0.1490213,3.4,Camden,717500.0,694.2
101,Peekaboo Vintage Marketplace,"149a Abbey Rd, London",51.540942,-0.1910264,5.0,Camden,717500.0,694.2
102,DreamingLion Vintage,"Unit D28, Horse Tunnel, The Stables Market, Chalk Farm Rd, London",51.5420455,-0.1469688,4.5,Camden,717500.0,694.2
103,VOUTIQUE LTD,"31 Claremont Rd, London",51.5332266,-0.2069859,4.2877224199288255,Westminster,1070000.0,771.6
104,Retro Woman,"20 Pembridge Rd, London",51.5096466,-0.1971298,2.7,Kensington and Chelsea,1200000.0,767.0
105,SoSo Retro,"Unit 527, The Stables Market, Chalk Farm Rd, London",51.5420455,-0.1469688,5.0,Camden,717500.0,694.2
106,SK.Vintage,"51 Fortess Rd, London",51.5539851,-0.1406663,4.5,Camden,717500.0,694.2
107,Collectif Camden Market,"36, Camden's Stables Market, Chalk Farm Rd, London",51.54222439999999,-0.1469208,4.7,Camden,717500.0,694.2
108,Exclusive,"2 Flask Walk, London",51.55638070000001,-0.1776995,2.5,Camden,717500.0,694.2
109,Vintage Clothing,"53 Chalk Farm Rd, London",51.5430371,-0.1501184,4.2877224199288255,Camden,717500.0,694.2
110,RETRO GIFTS RETAIL,"80 Portobello Rd, London",51.51216549999999,-0.2006635,4.2877224199288255,Kensington and Chelsea,1200000.0,767.0
111,Vintage Qi - Eclectic Furniture & Home Décor,"5 Lonsdale Rd, London",51.5375636,-0.2024299,5.0,Brent,450000.0,553.1
112,Arts And Vintage,"263 Archway Rd, London",51.5762988,-0.1442271,4.8,Haringey,487500.0,542.6
113,GROUND ONE SIX,"6 Malden Rd, London",51.5461817,-0.1506958,5.0,Camden,717500.0,694.2
114,20thc Quarters,"265 Archway Rd, London",51.5763249,-0.1442879,4.7,Haringey,487500.0,542.6
115,Camden Retro Signs,"8A, The Stables Market, PADDOCK LANE, Chalk Farm Rd, London",51.5420455,-0.1469688,5.0,Camden,717500.0,694.2
116,rollos vintage furniture,"391 Archway Rd, London",51.5783701,-0.1490951,5.0,Haringey,487500.0,542.6
117,Roomscape,"In, Belmont St, London",51.54479000000001,-0.1512781,4.2877224199288255,Camden,717500.0,694.2
118,Camden Thrift Store,"51 Chalk Farm Rd, London",51.543116,-0.1494112,4.5,Camden,717500.0,694.2
119,Gonnermann,"408-410 Archway Rd, London",51.5766188,-0.1441633,4.9,Haringey,487500.0,542.6
120,Vintage Luggage,"18 Delancey St, London",51.5368475,-0.1426188,4.2,Camden,717500.0,694.2
121,Antique Kelims,"Highgate Rd, London",51.5529237,-0.1420899,4.2877224199288255,Camden,717500.0,694.2
122,Traid Camden,"154 Camden High St, London",51.5385937,-0.1421116,3.7,Camden,717500.0,694.2
123,Episode,"26 Chalk Farm Rd, London",51.542509,-0.146978,4.2877224199288255,Camden,717500.0,694.2
124,Koo Style,"Unit 14/8, Camden Stables Market, Chalk Farm Rd, London",51.54197300000001,-0.1477216,4.2,Camden,717500.0,694.2
125,CIRCA VINTAGE,"87a Lansdowne Way, London",51.4748348,-0.1286932,4.7,Lambeth,510000.0,673.6
126,My Vintage J Box,"58 Streatham High Rd, London",51.4367663,-0.1280156,5.0,Lambeth,510000.0,673.6
127,Loved again Ltd.,"140 Stockwell Rd, London",51.4673937,-0.1182007,5.0,Lambeth,510000.0,673.6
128,Traid,"2 Acre Ln, London",51.4612282,-0.1162417,4.1,Lambeth,510000.0,673.6
129,PICKNWEIGHT - VINTAGE KILO STORE,"14-18 Neal St, London",51.5138476,-0.1248029,3.6,Westminster,1070000.0,771.6
130,Reign Vintage,"12 Berwick St, London",51.51340130000001,-0.1345882,4.3,Westminster,1070000.0,771.6
131,Wow Retro London Covent Garden,"179 Drury Ln, London",51.51564699999999,-0.1234713,4.3,Camden,717500.0,694.2
132,Blackout II - Vintage Clothing London,"51 Endell St, London",51.5148867,-0.125315,3.9,Camden,717500.0,694.2
133,Vintage Threads,"69 Neal St, London",51.51494020000001,-0.1266051,4.3,Camden,717500.0,694.2
134,Pop Boutique,"30 Short's Gardens, London",51.5144586,-0.1254132,4.1,Camden,717500.0,694.2
135,Goldsmith Vintage,"121, 123 Charing Cross Rd, London",51.5149524,-0.1301147,4.2,Westminster,1070000.0,771.6
136,Rokit Covent Garden,"42 Shelton St, London",51.5140748,-0.1244384,4.2,Westminster,1070000.0,771.6
137,goldsmith vintage,"57 Neal St, London",51.51476760000001,-0.1263361,3.4,Camden,717500.0,694.2
138,Past Trash,"38 Neal St, London",51.5143694,-0.1253947,4.7,Camden,717500.0,694.2
139,Wings Vintage,"105A Euston St., London",51.526494,-0.1363579,4.0,Camden,717500.0,694.2
140,Dunno. Curated,"8 Berwick St, London",51.5132162,-0.134507,4.7,Westminster,1070000.0,771.6
141,Gong Nong Bing Vintage,"68 Charing Cross Rd, London",51.5124053,-0.1284323,5.0,Westminster,1070000.0,771.6
142,COW Vintage,"13 Short's Gardens, London",51.5141663,-0.126386,3.7,Camden,717500.0,694.2
143,Vintage Clothing,"42 Shelton St, London",51.5140221,-0.1245663,5.0,Westminster,1070000.0,771.6
144,Good,"33 Neal St, London",51.5142216,-0.1256036,5.0,Camden,717500.0,694.2
145,2o2st News,"72 Berwick St, London",51.5147633,-0.1360655,4.2877224199288255,Westminster,1070000.0,771.6
146,wornwell vintage clothing,"Oxford St, London",51.5165812,-0.1311655,4.2877224199288255,Westminster,1070000.0,771.6
147,Clerkenwell Vintage Fashion Fair,"38-51 Bedford Way, London",51.5234685,-0.1273138,4.2877224199288255,Camden,717500.0,694.2
148,Dukes Cupboard Limited,"14 Ingestre Pl, London",51.5132008,-0.1357614,4.3,Westminster,1070000.0,771.6
149,Arabella Bianco,"13-25 Church St, London",51.5241255,-0.1688334,5.0,Westminster,1070000.0,771.6
150,The Vintage House,"42 Old Compton St, London",51.5131282,-0.1316389,4.1,Westminster,1070000.0,771.6
151,Pop Up 38,"18 Broadwick St, London",51.5138414,-0.1354232,5.0,Westminster,1070000.0,771.6
152,Beyond Retro Coal Drops,"Unit 79-81, Coal Drops Yard, London",51.5365259,-0.1259221,4.0,Camden,717500.0,694.2
153,The Grandad Company,"47, London",51.5378699,-0.1154254,5.0,Islington,625000.0,665.6
154,American Vintage,"Stable St, London",51.535973,-0.126182,3.4,Camden,717500.0,694.2
155,Resurrection Boutique,"3, Archway Close, 3 Archway Rd, London",51.5657346,-0.134374,4.2,Islington,625000.0,665.6
156,Svarelle,London,51.56526030000001,-0.1196879,4.2877224199288255,Islington,625000.0,665.6
157,Alpha Vintage Store,"Hornsey Rd, London",51.55952120000001,-0.1144241,4.2877224199288255,Islington,625000.0,665.6
158,Aladdin's Vintage Furniture & Cafe,"1 Hazellville Rd, London",51.5695455,-0.1243871,4.7,Islington,625000.0,665.6
159,Vivien of Holloway,"294 Holloway Rd, London",51.55451430000001,-0.1142869,4.4,Islington,625000.0,665.6
160,Little Paris Store,"39 Park Rd, London",51.580974,-0.125502,4.5,Haringey,487500.0,542.6
161,TTFN Vintage,"106-108 Denmark Hill, London",51.4709291,-0.0930882,5.0,Lambeth,510000.0,673.6
162,Leona,"Brixton Village, Unit 5 Coldharbour Ln, London",51.4621557,-0.1114804,5.0,Lambeth,510000.0,673.6
163,Rejuvenate - Something for everyone,"41-42 Coldharbour Ln, London",51.4625934,-0.1116695,4.2877224199288255,Lambeth,510000.0,673.6
164,Bella West,"Granville Arcade, Unit 76 Coldharbour Ln, London",51.4624417,-0.1118706,3.7,Lambeth,510000.0,673.6
165,Morbleu,"135 Dulwich Rd, London",51.4526729,-0.1027664,4.4,Lambeth,510000.0,673.6
166,Vintage Chairs,"25 Gubyon Ave, London",51.4554139,-0.102013,4.2877224199288255,Lambeth,510000.0,673.6
167,livewithfashion,"Alpha House, 100 Borough High St, London",51.5032218,-0.0919688999999999,4.2877224199288255,Southwark,520000.0,631.9
168,Academy Vintage Repro,"229 Waterloo Rd, London",51.4998143,-0.1068619,4.2877224199288255,Southwark,520000.0,631.9
169,Pennies Vintage,"41A Amwell St, London",51.5292864,-0.1104796,4.7,Islington,625000.0,665.6
170,Hartex,"Unit 9, Gabriels Wharf, 56 Upper Ground, London",51.5079685,-0.1103793,4.7,Lambeth,510000.0,673.6
171,Blue17 Vintage clothing,"162 Ground floor & basement, London",51.5512295,-0.1101328,4.7,Islington,625000.0,665.6
172,Magpie Vintage,"3 Camden Psge, London",51.5345635,-0.1043199,4.7,Islington,625000.0,665.6
173,Miniola Vintage,"65 Cross St, London",51.539392,-0.101881,4.2877224199288255,Islington,625000.0,665.6
174,Dreamtime,"14 Pierrepoint Arcade, London",51.5345842,-0.1037696,1.0,Islington,625000.0,665.6
175,Laura von Behr Vintage,"Canonbury Yard, Building 1, 5A, 190 New N Rd, London",51.5377403,-0.0908213,5.0,Islington,625000.0,665.6
176,"Camden Passage, Islington","1 Camden Psge, London",51.5346814,-0.1039732,4.3,Islington,625000.0,665.6
177,Seconda Mano - Clothing Agency,"114 Upper St, London",51.5381916,-0.1026253,4.0,Islington,625000.0,665.6
178,Leos boutique uk clothing popup stall,"Pierrepoint Arcade, Camden Psge, London",51.5355171,-0.1032303,5.0,Islington,625000.0,665.6
179,Cats In Orbit,"54 Eade Rd, London",51.5740932,-0.094848,1.0,Haringey,487500.0,542.6
180,Vintage Concept Store,"658 Holloway Rd, London",51.56258039999999,-0.1263506,4.2877224199288255,Islington,625000.0,665.6
181,House of Modern Vintage,"Wightman Rd, London",51.5793317,-0.1041108,4.9,Haringey,487500.0,542.6
182,Past Caring London,"54 Essex Rd, London",51.5377097,-0.0997412,4.6,Islington,625000.0,665.6
183,BijouxB Vintage Jewellery - Islington,"1-6 Colinsdale Estate, Camden Walk, London",51.5354176,-0.1031492,3.0,Islington,625000.0,665.6
184,D & A Binder - Antique Shop Cabinets & Bespoke Shopfittings for Hire or Purchase,"101 Holloway Rd, London",51.548067,-0.1066036,4.9,Islington,625000.0,665.6
185,Blue Feather,"14 Melbourne Grove, London",51.4604254,-0.0799633,4.9,Southwark,520000.0,631.9
186,Little Sister,"Market Peckham, 133a Rye Ln, London",51.46982449999999,-0.0680959,5.0,Southwark,520000.0,631.9
187,Rye Not Retro,"62 Peckham Rye, London",51.4649691,-0.0666578999999999,4.3,Southwark,520000.0,631.9
188,National Vintage League Ltd.,"Unit 2, Print Village, 58 Chadwick Rd, London",51.4683982,-0.0749778,5.0,Southwark,520000.0,631.9
189,Windsor Antique Emporium,"405 Lordship Ln, London",51.448623,-0.0735941,5.0,Southwark,520000.0,631.9
190,TRAID Peckham,"14-16 Rye Ln, London",51.4726379,-0.0698983,4.2,Southwark,520000.0,631.9
191,Frost,"144 Bellenden Rd, London",51.4681623,-0.0726333,5.0,Southwark,520000.0,631.9
192,Pezze,"vinegar yard, St Thomas St, London",51.5026705,-0.0833746,5.0,Southwark,520000.0,631.9
193,ACADEMY COSTUMES & REPRODUCTIONS,"229 Waterloo Rd, London",51.4998143,-0.1068619,5.0,Southwark,520000.0,631.9
194,Flea London Vintage & Makers Market,"Vinegar Yard, St Thomas St, London",51.50259699999999,-0.0834464999999999,4.0,Southwark,520000.0,631.9
195,Bermondsey Antique Market,"11 Bermondsey Sq, London",51.4972798,-0.0812958,3.9,Southwark,520000.0,631.9
196,The Rabbithole,"Vinegar Yard, 72-82 St Thomas St, London",51.5028073,-0.0838078,5.0,Southwark,520000.0,631.9
197,Hunky Dory Vintage,"226 Brick Ln, London",51.52473939999999,-0.0715639,4.5,Tower Hamlets,475000.0,680.3
198,The Brick Lane Vintage Market,"85 Brick Ln, London",51.52079579999999,-0.0720977,4.3,Tower Hamlets,475000.0,680.3
199,House of Vintage Shoreditch,"4 Cheshire St, London",51.5234455,-0.0711518999999999,3.7,Tower Hamlets,475000.0,680.3
200,Brick Lane Vintage,"182 Brick Ln, London",51.52353850000001,-0.0713005999999999,4.2,Tower Hamlets,475000.0,680.3
201,Vintage Basement,"7 Cheshire St, London",51.5235678,-0.0709520999999999,4.4,Tower Hamlets,475000.0,680.3
202,Magpie Vintage,"F Block, Magpie Vintage Brick Lane Vintage Market, 85 Brick Ln, London",51.520781,-0.0719501,5.0,Tower Hamlets,475000.0,680.3
203,Rokit,"101 Brick Ln, London",51.5224997,-0.0716904,4.1,Tower Hamlets,475000.0,680.3
204,SO VINTAGE LONDON,"Old Spitalfields Market, 16 Horner Square, Spitalfields, London",51.5196411,-0.0756105,3.0,Tower Hamlets,475000.0,680.3
205,Levisons Vintage Clothing,"1 Cheshire St, Brick Ln, London",51.5235518,-0.0711432,4.3,Tower Hamlets,475000.0,680.3
206,ATIKA,"55-59 Hanbury St, London",51.52037370000001,-0.0709477999999999,4.3,Tower Hamlets,475000.0,680.3
207,The yard,"115 Brick Ln, London",51.5204843,-0.0738691,4.2877224199288255,Tower Hamlets,475000.0,680.3
208,SCOUT VINTAGE,"108 Commercial St, London",51.5200921,-0.0742704,4.5,Tower Hamlets,475000.0,680.3
209,Collectif,"71 Brushfield St, London",51.5192388,-0.0750617,4.4,Tower Hamlets,475000.0,680.3
210,VOUT,"95 Columbia Rd, London",51.5299168,-0.0687478,5.0,Tower Hamlets,475000.0,680.3
211,Vintage Paradise,"220 Brick Ln, London",51.5245456,-0.0715203,4.3,Tower Hamlets,475000.0,680.3
212,Vintage Planet,"Unit 5/6, Vintage Planet, Brick Lane Vintage Market B4, 91 Brick Ln, London",51.5212201,-0.0719517,4.3,Tower Hamlets,475000.0,680.3
213,Non Stop Vintage,"117c Brick Ln, London",51.5238695,-0.0715777,2.8,Tower Hamlets,475000.0,680.3
214,House of Vintage,"388 Old St, London",51.5270585,-0.0782834,4.2877224199288255,Hackney,530000.0,575.1
